id,state,gender,median_home_val,hvp1,pobc1,pobc2,avggift,target_d,median_household_income,ic2,ic3,ic4,ic5,ic2_,quantile_ic3
152486,CA,Male,1538.0,11,5,49,5,5.0,271,317.0,342,393.0,15627.0,Low,"(287.0, 365.0]"
153880,WI,Female,592.0,1,3,74,12,5.0,244,341.0,306,392.0,12220.0,Low,"(287.0, 365.0]"
101855,MO,Male,871.0,6,0,71,7,10.0,340,385.0,365,416.0,15336.0,Moderate,"(287.0, 365.0]"
62932,IN,Male,403.0,1,0,45,8,10.0,174,240.0,201,264.0,9704.0,Low,"(-0.001, 287.0]"
125930,TX,Female,715.0,1,3,88,6,7.5,339,378.0,371,396.0,12617.0,Moderate,"(365.0, 479.75]"
173653,HI,Female,2346.0,67,5,78,15,21.0,420,446.0,468,503.0,14552.0,Moderate,"(365.0, 479.75]"
11011,FL,Male,559.0,0,11,20,12,20.0,232,270.0,257,269.0,10511.0,Low,"(-0.001, 287.0]"
116894,TX,Male,1158.286574654956,5,2,42,12,20.0,368,457.0,450,531.0,33797.0,Moderate,"(365.0, 479.75]"
154245,CA,Female,596.0,0,23,57,16,15.0,164,168.0,181,190.0,5273.0,Low,"(-0.001, 287.0]"
134773,UT,Male,706.0,1,1,82,15,25.0,362,376.0,379,394.0,10420.0,Moderate,"(365.0, 479.75]"
26271,GA,Female,878.0,30,4,55,10,16.0,310,517.0,433,588.0,22281.0,Moderate,"(365.0, 479.75]"
180292,WA,Female,1275.0,21,6,51,6,10.0,405,453.0,500,545.0,20971.0,Moderate,"(479.75, 1311.0]"
10145,CA,Female,2362.0,74,9,61,8,5.0,613,632.0,655,678.0,21179.0,Moderate,"(479.75, 1311.0]"
133806,ID,U,718.0,0,0,39,20,15.0,226,280.0,278,357.0,17292.0,Low,"(-0.001, 287.0]"
112632,CT,Male,2531.0,77,6,51,8,11.0,669,730.0,696,750.0,21094.0,Moderate,"(479.75, 1311.0]"
143253,CA,Female,2089.0,56,53,36,7,5.0,275,296.0,322,356.0,10484.0,Low,"(287.0, 365.0]"
403,AL,U,765.0,1,1,68,33,35.0,408,430.0,441,472.0,15150.0,Moderate,"(365.0, 479.75]"
189882,ND,Female,832.0,0,1,85,10,10.0,310,338.0,348,376.0,11972.0,Low,"(287.0, 365.0]"
119570,TX,Male,1458.0,8,4,56,6,10.0,299,354.0,356,446.0,19185.0,Low,"(287.0, 365.0]"
144021,CA,Female,1590.0,25,57,34,13,15.0,240,238.0,262,257.0,7559.0,Low,"(-0.001, 287.0]"
93356,IL,Female,613.0,0,1,60,11,25.0,212,245.0,294,355.0,11792.0,Low,"(287.0, 365.0]"
24711,SC,Female,477.0,0,1,80,5,10.0,256,282.0,292,316.0,10621.0,Low,"(287.0, 365.0]"
74914,IA,Female,424.0,0,1,78,4,6.0,192,256.0,230,256.0,9497.0,Low,"(-0.001, 287.0]"
6909,CO,Male,383.0,0,0,78,13,15.0,252,256.0,359,380.0,14045.0,Low,"(287.0, 365.0]"
124543,TX,Male,688.0,0,0,84,11,18.0,422,466.0,457,490.0,16561.0,Moderate,"(365.0, 479.75]"
163018,CA,Male,3500.0,57,36,28,15,24.0,351,260.0,463,407.0,26034.0,Low,"(365.0, 479.75]"
190671,CA,Female,2143.0,63,29,36,9,14.0,280,353.0,328,373.0,12935.0,Low,"(287.0, 365.0]"
33356,FL,Female,625.0,3,1,47,14,20.0,246,466.0,362,536.0,19102.0,Moderate,"(287.0, 365.0]"
151600,Cali,Male,1560.0,5,22,38,15,21.0,500,488.0,487,485.0,13816.0,Moderate,"(479.75, 1311.0]"
21259,NC,Female,716.0,1,2,66,12,15.0,146,339.0,227,382.0,11136.0,Low,"(-0.001, 287.0]"
128987,TX,Female,1247.0,17,16,50,26,41.0,215,313.0,350,444.0,16891.0,Low,"(287.0, 365.0]"
108926,LA,Male,611.0,1,4,52,15,20.0,265,323.0,302,337.0,12313.0,Low,"(287.0, 365.0]"
154709,Cali,Female,1431.0,24,18,48,13,5.0,291,390.0,315,376.0,10498.0,Moderate,"(287.0, 365.0]"
108050,LA,Female,1089.0,1,2,64,5,16.0,431,520.0,480,538.0,16777.0,Moderate,"(479.75, 1311.0]"
187274,IA,Female,435.0,0,2,76,15,15.0,244,298.0,281,329.0,10692.0,Low,"(-0.001, 287.0]"
171655,Cali,Female,1409.0,21,3,57,12,12.0,321,405.0,377,428.0,15611.0,Moderate,"(365.0, 479.75]"
160488,OR,Male,647.0,0,6,34,9,10.0,369,422.0,401,463.0,18492.0,Moderate,"(365.0, 479.75]"
21305,NC,Male,415.0,0,0,86,8,10.0,199,308.0,242,300.0,11449.0,Low,"(-0.001, 287.0]"
98470,IL,Female,492.0,0,3,85,8,14.0,172,384.0,276,399.0,13218.0,Moderate,"(-0.001, 287.0]"
140586,TX,Male,1043.0,13,2,70,13,20.0,610,682.0,731,788.0,49744.0,Moderate,"(479.75, 1311.0]"
158101,Cali,Male,3668.0,97,10,44,15,15.0,690,693.0,781,780.0,32964.0,Moderate,"(479.75, 1311.0]"
150043,Cali,Male,3491.0,94,18,44,20,20.0,791,828.0,853,903.0,32718.0,High,"(479.75, 1311.0]"
96251,IL,Female,192.0,0,3,89,5,10.0,164,211.0,186,224.0,7361.0,Low,"(-0.001, 287.0]"
188547,Cali,Male,0.0,0,0,0,20,25.0,0,0.0,0,0.0,0.0,Low,"(-0.001, 287.0]"
180617,WA,Male,824.0,10,7,52,7,11.0,225,308.0,293,383.0,13090.0,Low,"(287.0, 365.0]"
86000,SD,Female,428.0,0,2,62,11,10.0,205,318.0,245,309.0,11192.0,Low,"(-0.001, 287.0]"
13265,AL,Female,417.0,0,0,64,7,11.0,122,283.0,160,250.0,9715.0,Low,"(-0.001, 287.0]"
71,TN,Female,399.0,0,0,85,6,16.0,307,315.0,336,352.0,11428.0,Low,"(287.0, 365.0]"
148969,Cali,Female,2377.0,85,13,53,9,10.0,633,637.0,652,663.0,19545.0,Moderate,"(479.75, 1311.0]"
156324,Cali,Female,2016.0,51,11,53,8,15.0,431,465.0,459,497.0,17882.0,Moderate,"(365.0, 479.75]"
130976,CO,Female,933.0,0,6,42,8,7.0,289,332.0,349,379.0,14104.0,Low,"(287.0, 365.0]"
140141,NM,Female,619.0,4,2,50,12,14.0,215,222.0,260,268.0,10427.0,Low,"(-0.001, 287.0]"
85416,Cali,Female,3303.0,94,13,45,14,25.0,533,568.0,586,614.0,24251.0,Moderate,"(479.75, 1311.0]"
108150,LA,Female,960.0,0,10,57,15,20.0,479,526.0,548,613.0,19518.0,Moderate,"(479.75, 1311.0]"
129823,CO,Male,1236.0,13,2,29,6,10.0,622,630.0,727,737.0,25882.0,Moderate,"(479.75, 1311.0]"
104413,AZ,Male,473.0,1,6,23,5,6.0,164,179.0,207,215.0,9819.0,Low,"(-0.001, 287.0]"
60512,IL,Female,1055.0,0,8,74,20,25.0,366,462.0,379,400.0,11289.0,Moderate,"(365.0, 479.75]"
90480,IL,Female,1509.0,19,7,75,9,11.0,545,617.0,599,680.0,23170.0,Moderate,"(479.75, 1311.0]"
148911,Cali,Female,1953.0,47,11,47,15,10.0,454,526.0,478,564.0,21667.0,Moderate,"(365.0, 479.75]"
52990,TN,Male,927.0,1,1,56,5,26.0,299,322.0,372,410.0,14428.0,Low,"(365.0, 479.75]"
148022,Cali,Female,2098.0,56,56,25,6,10.0,305,311.0,352,368.0,13564.0,Low,"(287.0, 365.0]"
147406,Cali,Male,5209.0,99,7,47,30,38.0,1054,1220.0,1058,1128.0,52654.0,Very High,"(479.75, 1311.0]"
103468,MO,Female,476.0,0,1,74,7,15.0,219,280.0,272,319.0,10966.0,Low,"(-0.001, 287.0]"
84100,MN,Male,1515.0,17,6,63,14,14.0,648,684.0,717,781.0,25787.0,Moderate,"(479.75, 1311.0]"
137548,AZ,Male,2158.0,54,7,12,7,9.0,411,516.0,535,640.0,33235.0,Moderate,"(479.75, 1311.0]"
6932,MO,Male,1110.0,5,2,58,7,10.0,460,544.0,538,624.0,21875.0,Moderate,"(479.75, 1311.0]"
37118,FL,Female,581.0,0,19,53,9,15.0,349,361.0,359,373.0,9667.0,Low,"(287.0, 365.0]"
109179,LA,Male,563.0,3,1,90,10,14.0,259,301.0,308,342.0,10726.0,Low,"(287.0, 365.0]"
140642,NM,Female,740.0,2,9,26,5,5.0,240,288.0,294,324.0,10701.0,Low,"(287.0, 365.0]"
77057,IA,Female,516.0,0,2,75,12,15.0,332,378.0,347,379.0,13293.0,Moderate,"(287.0, 365.0]"
83131,MN,Male,575.0,0,0,86,10,20.0,249,282.0,290,316.0,9843.0,Low,"(287.0, 365.0]"
168078,Cali,Male,2357.0,81,26,55,13,19.0,511,540.0,570,609.0,23786.0,Moderate,"(479.75, 1311.0]"
32975,SC,Male,645.0,0,3,15,10,25.0,304,360.0,306,376.0,6826.0,Low,"(287.0, 365.0]"
37472,FL,Male,825.0,0,63,21,20,20.0,233,239.0,290,301.0,9747.0,Low,"(287.0, 365.0]"
63113,IN,Male,531.0,0,2,70,5,5.0,246,278.0,272,290.0,10423.0,Low,"(-0.001, 287.0]"
57039,KY,Female,195.0,0,0,94,4,5.0,131,148.0,159,179.0,5727.0,Low,"(-0.001, 287.0]"
58786,KY,Female,423.0,0,0,82,6,20.0,293,297.0,274,279.0,10343.0,Low,"(-0.001, 287.0]"
164306,Cali,Female,2725.0,83,9,51,15,30.0,629,684.0,662,734.0,24424.0,Moderate,"(479.75, 1311.0]"
113129,OK,Female,359.0,0,0,64,20,20.0,220,247.0,270,299.0,13024.0,Low,"(-0.001, 287.0]"
19094,CT,Female,1373.0,2,5,71,28,40.0,472,463.0,504,517.0,17363.0,Moderate,"(479.75, 1311.0]"
102224,NJ,U,1439.0,3,15,61,6,6.0,370,414.0,417,464.0,13353.0,Moderate,"(365.0, 479.75]"
155375,Cali,Female,889.0,0,7,68,5,6.0,398,488.0,450,495.0,13782.0,Moderate,"(365.0, 479.75]"
185030,FL,Male,824.0,0,15,7,10,10.0,248,274.0,288,326.0,15008.0,Low,"(287.0, 365.0]"
149887,Cali,Male,1993.0,49,15,53,10,15.0,442,472.0,484,520.0,16427.0,Moderate,"(479.75, 1311.0]"
117216,TX,Female,618.0,0,9,75,10,30.0,233,310.0,302,394.0,12864.0,Low,"(287.0, 365.0]"
167892,Cali,Female,3259.0,83,17,49,7,10.0,267,626.0,508,591.0,19399.0,Moderate,"(479.75, 1311.0]"
107618,NE,Female,151.0,0,0,68,2,2.0,180,208.0,230,273.0,9138.0,Low,"(-0.001, 287.0]"
72410,MI,Male,492.0,0,1,55,14,20.0,272,370.0,317,402.0,14442.0,Low,"(287.0, 365.0]"
112319,AR,Female,892.0,5,2,21,17,30.0,380,406.0,426,468.0,19444.0,Moderate,"(365.0, 479.75]"
28061,GA,Female,948.0,1,2,65,5,5.0,531,530.0,585,584.0,19537.0,Moderate,"(479.75, 1311.0]"
108371,LA,Female,717.0,0,21,62,24,20.0,190,313.0,235,302.0,10888.0,Low,"(-0.001, 287.0]"
187807,MI,Male,612.0,1,1,27,12,22.0,330,326.0,392,400.0,13162.0,Low,"(365.0, 479.75]"
180383,WA,Female,919.0,1,5,56,8,11.0,338,337.0,349,346.0,12507.0,Low,"(287.0, 365.0]"
183013,WA,Male,697.0,0,3,34,10,11.0,317,364.0,337,406.0,13561.0,Low,"(287.0, 365.0]"
187769,Cali,Male,5059.0,99,10,48,10,25.0,693,752.0,751,847.0,29368.0,High,"(479.75, 1311.0]"
191056,Cali,Male,5667.0,98,11,35,28,47.0,492,808.0,594,848.0,51280.0,High,"(479.75, 1311.0]"
151891,Cali,Female,2750.0,91,10,44,11,15.0,668,701.0,717,781.0,26199.0,Moderate,"(479.75, 1311.0]"
5822,KS,Female,513.0,0,3,66,6,11.0,400,434.0,436,482.0,20842.0,Moderate,"(365.0, 479.75]"
164969,Cali,Female,1848.0,33,28,49,5,7.0,505,515.0,560,581.0,19729.0,Moderate,"(479.75, 1311.0]"
172846,Cali,Male,1417.0,18,29,49,14,10.0,406,341.0,519,508.0,18590.0,Low,"(479.75, 1311.0]"
95951,IL,Female,347.0,0,6,74,8,20.0,210,255.0,229,286.0,10356.0,Low,"(-0.001, 287.0]"
18089,NC,Male,994.0,2,1,70,13,25.0,404,475.0,485,530.0,17420.0,Moderate,"(479.75, 1311.0]"
35276,FL,Female,3542.0,76,3,31,6,10.0,642,690.0,807,843.0,53131.0,Moderate,"(479.75, 1311.0]"
18607,NC,Male,797.0,2,0,74,7,23.0,377,418.0,423,451.0,16163.0,Moderate,"(365.0, 479.75]"
61275,IN,Male,791.0,1,1,74,7,12.0,361,407.0,390,428.0,13805.0,Moderate,"(365.0, 479.75]"
36141,FL,Female,957.0,16,5,17,15,10.0,408,399.0,450,459.0,17718.0,Moderate,"(365.0, 479.75]"
85716,MN,Female,357.0,0,1,78,25,25.0,164,214.0,215,254.0,8443.0,Low,"(-0.001, 287.0]"
154195,Cali,Female,896.0,2,7,46,20,20.0,336,362.0,389,418.0,14513.0,Low,"(365.0, 479.75]"
46755,AL,Female,402.0,0,1,86,4,5.0,232,249.0,276,300.0,10540.0,Low,"(-0.001, 287.0]"
13239,FL,Male,3083.0,52,26,3,2,3.0,166,270.0,233,332.0,16019.0,Low,"(-0.001, 287.0]"
86068,SD,Female,460.0,0,1,69,9,5.0,247,357.0,300,372.0,11245.0,Low,"(287.0, 365.0]"
67900,MI,Male,294.0,0,2,80,17,20.0,279,355.0,391,404.0,10385.0,Low,"(365.0, 479.75]"
59610,IN,Female,1199.0,2,0,69,10,15.0,547,556.0,597,605.0,20694.0,Moderate,"(479.75, 1311.0]"
13378,CA,Female,1125.0,15,10,51,5,7.0,280,336.0,305,362.0,10857.0,Low,"(287.0, 365.0]"
20752,NC,Male,974.0,3,2,32,8,13.0,252,279.0,300,330.0,13321.0,Low,"(287.0, 365.0]"
30934,GA,Male,316.0,0,0,79,12,15.0,213,238.0,254,280.0,8956.0,Low,"(-0.001, 287.0]"
102163,MO,Female,825.0,1,4,49,25,30.0,401,463.0,464,555.0,28003.0,Moderate,"(365.0, 479.75]"
128976,TX,Female,642.0,0,12,35,6,10.0,271,284.0,306,312.0,9453.0,Low,"(287.0, 365.0]"
44088,IN,Male,1263.0,21,4,58,7,10.0,468,517.0,548,601.0,26265.0,Moderate,"(479.75, 1311.0]"
154931,CA,Female,1809.0,35,12,44,8,10.0,454,466.0,503,543.0,15886.0,Moderate,"(479.75, 1311.0]"
87939,IL,Male,5294.0,96,12,57,13,30.0,1035,1165.0,1012,1065.0,60053.0,Very High,"(479.75, 1311.0]"
140779,NV,Female,1161.0,5,8,14,5,6.0,448,484.0,536,570.0,20691.0,Moderate,"(479.75, 1311.0]"
113838,OK,Female,295.0,0,1,62,6,8.0,150,203.0,195,248.0,8962.0,Low,"(-0.001, 287.0]"
156568,CA,Female,3020.0,95,4,46,40,75.0,756,765.0,809,823.0,26135.0,High,"(479.75, 1311.0]"
130485,CO,Female,431.0,0,3,32,8,16.0,258,342.0,386,541.0,25828.0,Low,"(365.0, 479.75]"
101803,MO,Female,544.0,0,1,71,11,25.0,264,283.0,326,340.0,16194.0,Low,"(287.0, 365.0]"
41899,FL,Male,618.0,2,7,22,7,10.0,223,278.0,278,335.0,13341.0,Low,"(-0.001, 287.0]"
30795,GA,Male,323.0,2,0,77,5,10.0,183,207.0,201,210.0,7139.0,Low,"(-0.001, 287.0]"
133256,ID,Male,1104.0,7,3,50,13,10.0,511,528.0,534,566.0,17366.0,Moderate,"(479.75, 1311.0]"
151203,CA,U,2135.0,58,10,55,8,5.0,417,417.0,433,456.0,18907.0,Moderate,"(365.0, 479.75]"
31425,GA,Male,671.0,3,4,70,4,16.0,287,365.0,372,441.0,16517.0,Low,"(365.0, 479.75]"
70524,MI,Female,510.0,0,1,80,10,23.0,228,370.0,324,394.0,12576.0,Low,"(287.0, 365.0]"
161229,CA,Female,650.0,13,43,49,8,21.0,302,302.0,315,318.0,7080.0,Low,"(287.0, 365.0]"
83181,MN,Female,487.0,0,1,88,12,15.0,248,287.0,286,327.0,10792.0,Low,"(-0.001, 287.0]"
143528,CA,Female,2925.0,83,27,21,7,10.0,288,305.0,353,376.0,23046.0,Low,"(287.0, 365.0]"
42970,FL,Male,884.0,1,6,6,4,3.0,242,268.0,271,313.0,13491.0,Low,"(-0.001, 287.0]"
83708,MN,Female,753.0,0,1,80,8,10.0,341,393.0,373,442.0,15502.0,Moderate,"(365.0, 479.75]"
101390,MO,Female,594.0,1,0,79,2,2.0,337,350.0,343,347.0,13094.0,Low,"(287.0, 365.0]"
77898,WI,Male,627.0,0,6,71,7,10.0,367,427.0,394,444.0,15350.0,Moderate,"(365.0, 479.75]"
77345,WI,Male,806.0,0,1,85,13,16.0,331,420.0,382,447.0,15120.0,Moderate,"(365.0, 479.75]"
142579,CA,Female,3149.0,80,8,33,10,20.0,504,601.0,562,672.0,22033.0,Moderate,"(479.75, 1311.0]"
162209,CA,Female,5266.0,96,17,36,9,10.0,495,675.0,669,785.0,43828.0,Moderate,"(479.75, 1311.0]"
171396,CA,Male,1401.0,1,6,49,5,6.0,441,445.0,462,466.0,15438.0,Moderate,"(365.0, 479.75]"
129530,CO,Male,593.0,0,8,33,12,10.0,163,180.0,207,230.0,9520.0,Low,"(-0.001, 287.0]"
33773,FL,Female,915.0,13,8,19,13,20.0,308,357.0,367,438.0,17783.0,Low,"(365.0, 479.75]"
10031,NE,Female,456.0,2,2,75,7,10.0,258,311.0,314,381.0,13411.0,Low,"(287.0, 365.0]"
62056,IN,Male,610.0,0,0,86,4,7.0,319,336.0,384,407.0,11815.0,Low,"(365.0, 479.75]"
11494,FL,Male,1229.0,21,2,30,8,5.0,469,502.0,507,544.0,17313.0,Moderate,"(479.75, 1311.0]"
44847,FL,Male,428.0,1,7,35,9,10.0,140,196.0,171,208.0,9064.0,Low,"(-0.001, 287.0]"
94851,IL,Female,2333.0,61,18,45,7,10.0,316,643.0,420,744.0,33535.0,Moderate,"(365.0, 479.75]"
15668,NC,Male,707.0,0,0,84,9,45.0,383,400.0,398,433.0,13852.0,Moderate,"(365.0, 479.75]"
175579,OR,Female,377.0,0,16,42,16,20.0,171,199.0,219,187.0,21980.0,Low,"(-0.001, 287.0]"
150534,CA,U,1624.0,13,38,47,5,4.0,380,382.0,407,408.0,9685.0,Moderate,"(365.0, 479.75]"
68441,MI,Female,348.0,0,0,71,27,30.0,184,269.0,264,316.0,11686.0,Low,"(-0.001, 287.0]"
157185,CA,Female,1878.0,35,8,62,6,5.0,523,526.0,564,566.0,16084.0,Moderate,"(479.75, 1311.0]"
90816,IL,Female,777.0,0,6,84,17,20.0,378,386.0,396,423.0,14106.0,Moderate,"(365.0, 479.75]"
94915,IL,Female,1463.0,8,26,60,12,15.0,117,439.0,266,523.0,13344.0,Moderate,"(-0.001, 287.0]"
118392,TX,Male,375.0,0,1,84,5,12.0,153,214.0,206,248.0,7798.0,Low,"(-0.001, 287.0]"
187571,IN,Female,561.0,1,0,60,19,26.0,302,301.0,323,331.0,10873.0,Low,"(287.0, 365.0]"
21659,NC,Male,502.0,1,0,85,7,10.0,199,250.0,229,261.0,8726.0,Low,"(-0.001, 287.0]"
157672,CA,Male,4206.0,93,19,36,12,10.0,789,804.0,834,850.0,37411.0,High,"(479.75, 1311.0]"
64166,IN,Male,800.0,4,7,60,16,23.0,283,398.0,338,425.0,15160.0,Moderate,"(287.0, 365.0]"
185304,CO,Male,1472.0,27,3,24,15,21.0,625,653.0,687,732.0,27469.0,Moderate,"(479.75, 1311.0]"
57963,KY,Female,492.0,3,0,71,8,10.0,332,450.0,425,471.0,21410.0,Moderate,"(365.0, 479.75]"
98249,IL,Female,609.0,1,0,92,6,10.0,314,347.0,349,385.0,11360.0,Low,"(287.0, 365.0]"
153689,CA,Female,2430.0,85,11,42,9,20.0,604,610.0,659,669.0,20529.0,Moderate,"(479.75, 1311.0]"
157807,CA,Male,2559.0,84,13,51,10,16.0,581,591.0,614,651.0,21559.0,Moderate,"(479.75, 1311.0]"
41715,FL,Female,696.0,7,7,22,3,3.0,272,357.0,358,427.0,16474.0,Low,"(287.0, 365.0]"
45356,FL,Male,762.0,7,7,13,6,8.0,254,355.0,327,411.0,17458.0,Low,"(287.0, 365.0]"
163506,CA,Female,3556.0,98,9,55,15,15.0,735,701.0,838,805.0,34382.0,Moderate,"(479.75, 1311.0]"
107727,NE,Female,441.0,0,1,75,5,7.0,260,321.0,300,353.0,12452.0,Low,"(287.0, 365.0]"
64212,IN,Female,502.0,0,1,80,15,20.0,319,363.0,341,388.0,12989.0,Low,"(287.0, 365.0]"
60252,IN,Male,673.0,0,1,67,13,15.0,284,330.0,335,373.0,15149.0,Low,"(287.0, 365.0]"
45101,FL,Female,1173.0,5,7,14,4,3.0,322,424.0,407,494.0,18738.0,Moderate,"(365.0, 479.75]"
36528,FL,Female,934.0,1,73,17,25,25.0,323,373.0,376,400.0,9980.0,Low,"(365.0, 479.75]"
38820,FL,Male,1332.0,2,14,15,9,20.0,357,411.0,422,497.0,21444.0,Moderate,"(365.0, 479.75]"
133906,ID,Female,451.0,1,1,43,15,10.0,225,261.0,262,294.0,10244.0,Low,"(-0.001, 287.0]"
12226,CO,Female,649.0,0,7,60,5,8.0,238,273.0,272,302.0,10417.0,Low,"(-0.001, 287.0]"
8696,OK,Female,590.0,0,1,65,13,11.0,410,439.0,433,456.0,13115.0,Moderate,"(365.0, 479.75]"
119368,TX,Female,500.0,0,6,50,11,25.0,291,316.0,314,379.0,19609.0,Low,"(287.0, 365.0]"
14319,FL,Male,368.0,0,0,68,10,19.0,230,271.0,261,295.0,9547.0,Low,"(-0.001, 287.0]"
118408,TX,Male,427.0,0,2,86,9,15.0,315,365.0,340,377.0,11299.0,Low,"(287.0, 365.0]"
146585,CA,Female,1458.0,7,40,38,4,8.0,173,191.0,220,249.0,8381.0,Low,"(-0.001, 287.0]"
120115,TX,Male,274.0,1,6,84,40,200.0,154,214.0,199,256.0,8881.0,Low,"(-0.001, 287.0]"
57463,KY,Female,584.0,0,3,62,11,10.0,274,287.0,336,341.0,15105.0,Low,"(287.0, 365.0]"
94394,IL,Female,553.0,0,2,72,8,10.0,306,309.0,333,348.0,9296.0,Low,"(287.0, 365.0]"
155135,CA,Male,903.0,0,8,54,6,7.0,321,406.0,358,390.0,10985.0,Moderate,"(287.0, 365.0]"
149595,CA,Male,2545.0,80,38,37,12,17.0,361,304.0,386,358.0,14300.0,Low,"(365.0, 479.75]"
166606,CA,Female,1778.0,27,21,41,39,50.0,411,480.0,439,503.0,18236.0,Moderate,"(365.0, 479.75]"
8240,CA,Female,1187.0,11,11,49,10,10.0,328,366.0,393,428.0,13978.0,Low,"(365.0, 479.75]"
185904,TX,Female,1448.0,18,3,49,7,13.0,651,667.0,698,724.0,24736.0,Moderate,"(479.75, 1311.0]"
49351,AL,Male,712.0,1,0,73,14,15.0,377,398.0,446,472.0,15013.0,Moderate,"(365.0, 479.75]"
191779,FL,Male,1432.0,24,0,44,25,150.0,636,693.0,680,772.0,35544.0,Moderate,"(479.75, 1311.0]"
169881,CA,Female,2598.0,74,9,36,8,15.0,470,557.0,562,661.0,31631.0,Moderate,"(479.75, 1311.0]"
144356,CA,Female,2855.0,78,28,47,6,20.0,311,385.0,484,537.0,18525.0,Moderate,"(479.75, 1311.0]"
186528,TX,Female,535.0,3,8,86,9,15.0,244,437.0,317,402.0,17053.0,Moderate,"(287.0, 365.0]"
14161,WA,Male,703.0,0,2,55,7,10.0,161,206.0,206,232.0,8860.0,Low,"(-0.001, 287.0]"
190839,IL,Male,662.0,1,17,60,12,15.0,352,406.0,394,456.0,13460.0,Moderate,"(365.0, 479.75]"
146269,CA,Female,2973.0,85,39,41,7,10.0,576,591.0,624,654.0,18497.0,Moderate,"(479.75, 1311.0]"
188507,CA,Female,2289.0,66,8,61,9,10.0,631,647.0,657,679.0,22571.0,Moderate,"(479.75, 1311.0]"
116251,TX,Female,1274.0,1,4,31,6,10.0,789,798.0,804,825.0,26360.0,High,"(479.75, 1311.0]"
81945,WI,Male,840.0,11,1,79,15,20.0,458,471.0,513,548.0,20327.0,Moderate,"(479.75, 1311.0]"
8989,WA,Female,1024.0,5,5,46,10,32.0,441,451.0,446,472.0,13462.0,Moderate,"(365.0, 479.75]"
47282,AL,Female,558.0,0,2,77,7,15.0,336,354.0,382,398.0,13299.0,Low,"(365.0, 479.75]"
2950,MT,Male,717.0,1,2,37,4,2.0,306,315.0,333,358.0,11279.0,Low,"(287.0, 365.0]"
